"Baotou","(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi","China","China Standard Time"
"Barcelona","(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Spain","W. Europe Standard Time"
"Barcelona","(GMT-04:30) Venezuela","Venezuela","Venezuela Standard Time"
"Bareilly","(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi","India","India Standard Time"
"Bari","(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Italy","W. Europe Standard Time"
"Barrie, ON","(GMT-05:00) Eastern Time (US & Canada)","Canada","Eastern Standard Time"
"Basse-Terre","(GMT-04:00) La Paz","Guadeloupe","SA Western Standard Time"
"Basseterre","(GMT-04:00) La Paz","Saint Kitts and Nevis","SA Western Standard Time"
"Baton Rouge, LA","(GMT-06:00) Central Time (US & Canada)","United States","Central Standard Time"
"Beijing","(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi","China","China Standard Time"
"Beirut","(GMT+02:00) Beirut","Lebanon","Lebanon Standard Time"
"Beja","(GMT) Dublin, Edinburgh, Lisbon, London","Portugal","GMT Standard Time"
"Belfast","(GMT) Dublin, Edinburgh, Lisbon, London","United Kingdom","GMT Standard Time"
"Belgorod","(GMT+04:00) Moscow, St. Petersburg, Volgograd","Russia","Russian Standard Time"
"Belgrade","(GMT+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague","Serbia","Central Europe Standard Time"
"Belize City","(GMT-06:00) Central America","Belize","Central America Standard Time"
"Bellevue, WA","(GMT-08:00) Pacific Time (US & Canada); Tijuana","United States","Pacific Standard Time"
"Belmopan","(GMT-06:00) Central America","Belize","Central America Standard Time"
"Belo Horizonte","(GMT-03:00) Brasilia","Brazil","E. South America Standard Time"
"Belogradchik","(GMT+02:00) Helsinki, Riga, Sofia, Tallinn, Vilnius","Bulgaria","FLE Standard Time"
"Benevento","(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Italy","W. Europe Standard Time"
"Benxi","(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi","China","China Standard Time"
"Bergen","(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Norway","W. Europe Standard Time"
"Berlin","(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Germany","W. Europe Standard Time"
"Bern","(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Switzerland","W. Europe Standard Time"
"Beziers","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris","France","Romance Standard Time"
"Bhopal","(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi","India","India Standard Time"
"Bhubaneswar","(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi","India","India Standard Time"
"Bilbao","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris","Spain","Romance Standard Time"
"Billings, MT","(GMT-07:00) Mountain Time (US & Canada)","United States","Mountain Standard Time"
"Biratchowk","(GMT+05:45) Kathmandu","Nepal","Nepal Standard Time"
"Birmingham","(GMT) Dublin, Edinburgh, Lisbon, London","United Kingdom","GMT Standard Time"
"Birmingham, AL","(GMT-06:00) Central Time (US & Canada)","United States","Central Standard Time"
"Bishkek","(GMT+06:00) Central Asia","Kyrgyzstan","Central Asia Standard Time"
"Bismarck, ND","(GMT-06:00) Central Time (US & Canada)","United States","Central Standard Time"
"Bissau","(GMT) Greenwich Mean Time","Guinea-Bissau","Greenwich Standard Time"
"Blanes","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris","Spain","Romance Standard Time"
"Blantyre","(GMT+02:00) Harare, Pretoria","Malawi","South Africa Standard Time"
"Blantyre-Hamilton","(GMT) Dublin, Edinburgh, Lisbon, London","United Kingdom","GMT Standard Time"
"Bloemfontein","(GMT+02:00) Harare, Pretoria","South Africa","South Africa Standard Time"
"Bodrum","(GMT+02:00) Turkey","Turkey","Turkey Standard Time"
"Bogota","(GMT-05:00) Bogota, Lima, Quito","Colombia","SA Pacific Standard Time"
"Boise, ID","(GMT-07:00) Mountain Time (US & Canada)","United States","Mountain Standard Time"
"Bologna","(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Italy","W. Europe Standard Time"
"Bonn","(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Germany","W. Europe Standard Time"
"Bordeaux","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris","France","Romance Standard Time"
"Boston, MA","(GMT-05:00) Eastern Time (US & Canada)","United States","Eastern Standard Time"
"Braganca","(GMT) Dublin, Edinburgh, Lisbon, London","Portugal","GMT Standard Time"
"Brasilia","(GMT-03:00) Brasilia","Brazil","E. South America Standard Time"
"Bratislava","(GMT+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague","Slovakia","Central Europe Standard Time"
"Brazzaville","(GMT+01:00) West Central Africa","Congo","W. Central Africa Standard Time"
"Bremen","(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Germany","W. Europe Standard Time"
"Brest","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris","France","Romance Standard Time"
"Bridgetown","(GMT-04:00) La Paz","Barbados","SA Western Standard Time"
"Brindisi","(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Italy","W. Europe Standard Time"
"Brisbane","(GMT+10:00) Brisbane","Australia","E. Australia Standard Time"
"Bristol","(GMT) Dublin, Edinburgh, Lisbon, London","United Kingdom","GMT Standard Time"
"Brno","(GMT+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague","Czech Republic","Central Europe Standard Time"
"Brussels","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris","Belgium","Romance Standard Time"
"Bucharest","(GMT+02:00) Helsinki, Riga, Sofia, Tallinn, Vilnius","Romania","FLE Standard Time"
"Budapest","(GMT+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague","Hungary","Central Europe Standard Time"
"Buenos Aires","(GMT-03:00) Argentina","Argentina","Argentina Standard Time"
"Buffalo, NY","(GMT-05:00) Eastern Time (US & Canada)","United States","Eastern Standard Time"
"Bujumbura","(GMT+02:00) Harare, Pretoria","Burundi","South Africa Standard Time"
"Burgos","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris","Spain","Romance Standard Time"
"Buri Ram","(GMT+07:00) Bangkok, Hanoi, Jakarta","Thailand","SE Asia Standard Time"
"Burnaby, BC","(GMT-08:00) Pacific Time (US & Canada); Tijuana","Canada","Pacific Standard Time"
"Bursa","(GMT+02:00) Turkey","Turkey","Turkey Standard Time"
"Busan","(GMT+09:00) Seoul","Korea, South","Korea Standard Time"
"Butterworth","(GMT+08:00) Kuala Lumpur, Singapore","Malaysia","Singapore Standard Time"
"Cabo San Lucas","(GMT-07:00) Chihuahua, La Paz, Mazatlan","Mexico","Mexico Standard Time 2"
"Cairns","(GMT+10:00) Brisbane","Australia","E. Australia Standard Time"
"Cairo","(GMT+02:00) Cairo","Egypt","Egypt Standard Time"
"Calabar","(GMT+01:00) West Central Africa","Nigeria","W. Central Africa Standard Time"
"Calgary, AB","(GMT-07:00) Mountain Time (US & Canada)","Canada","Mountain Standard Time"
"Campinas","(GMT-03:00) Brasilia","Brazil","E. South America Standard Time"
"Canberra","(GMT+10:00) Canberra, Melbourne, Sydney","Australia","AUS Eastern Standard Time"
"Cancun","(GMT-06:00) Guadalajara, Mexico City, Monterrey","Mexico","Mexico Standard Time"
"Canmore, AB","(GMT-07:00) Mountain Time (US & Canada)","Canada","Mountain Standard Time"
"Cannes","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris","France","Romance Standard Time"
"Cannon Beach, OR","(GMT-08:00) Pacific Time (US & Canada); Tijuana","United States","Pacific Standard Time"
"Cape Town","(GMT+02:00) Harare, Pretoria","South Africa","South Africa Standard Time"
"Capitola, CA","(GMT-08:00) Pacific Time (US & Canada); Tijuana","United States","Pacific Standard Time"
"Caracas","(GMT-04:30) Venezuela","Venezuela","Venezuela Standard Time"
"Carcassonne","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris","France","Romance Standard Time"
"Cardiff","(GMT) Dublin, Edinburgh, Lisbon, London","United Kingdom","GMT Standard Time"
"Carson City, NV","(GMT-08:00) Pacific Time (US & Canada); Tijuana","United States","Pacific Standard Time"
"Cartagena","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris","Spain","Romance Standard Time"
"Casablanca","(GMT) Morocco","Morocco","Morocco Standard Time"
"Castelo Branco","(GMT) Dublin, Edinburgh, Lisbon, London","Portugal","GMT Standard Time"
"Castlebar","(GMT) Dublin, Edinburgh, Lisbon, London","Ireland","GMT Standard Time"
"Castries","(GMT-04:00) La Paz","Saint Lucia","SA Western Standard Time"
"Catamarca","(GMT-03:00) Georgetown, South America Eastern Time","Argentina","SA Eastern Standard Time"
"Catania","(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Italy","W. Europe Standard Time"
"Catarman","(GMT+08:00) Kuala Lumpur, Singapore","Philippines","Singapore Standard Time"
"Cayenne","(GMT-03:00) Georgetown, South America Eastern Time","French Guiana","SA Eastern Standard Time"
"Cebu","(GMT+08:00) Kuala Lumpur, Singapore","Philippines","Singapore Standard Time"
"Champaign, IL","(GMT-06:00) Central Time (US & Canada)","United States","Central Standard Time"
"Chandigarh","(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi","India","India Standard Time"
"Chandler, AZ","(GMT-07:00) Arizona","United States","US Mountain Standard Time"
"Changchun","(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi","China","China Standard Time"
"Chania","(GMT+02:00) Helsinki, Riga, Sofia, Tallinn, Vilnius","Greece","FLE Standard Time"
"Chantilly, VA","(GMT-05:00) Eastern Time (US & Canada)","United States","Eastern Standard Time"
"Charleston, WV","(GMT-05:00) Eastern Time (US & Canada)","United States","Eastern Standard Time"
"Charlotte Amalie","(GMT-04:00) La Paz","Virgin Islands, U.S.","SA Western Standard Time"
"Charlotte, NC","(GMT-05:00) Eastern Time (US & Canada)","United States","Eastern Standard Time"
"Charlottetown, PE","(GMT-04:00) Atlantic Time (Canada)","Canada","Atlantic Standard Time"
"Chattanooga, TN","(GMT-05:00) Eastern Time (US & Canada)","United States","Eastern Standard Time"
"Chelyabinsk","(GMT+06:00) Ekaterinburg","Russia","Ekaterinburg Standard Time"
"Chengdu","(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi","China","China Standard Time"
"Chennai","(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi","India","India Standard Time"
"Cherepovets","(GMT+04:00) Moscow, St. Petersburg, Volgograd","Russia","Russian Standard Time"
"Chernobyl","(GMT+02:00) Ukraine","Ukraine","Ukraine Standard Time"
"Cheruvathur","(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi","India","India Standard Time"
"Chiang Mai","(GMT+07:00) Bangkok, Hanoi, Jakarta","Thailand","SE Asia Standard Time"
"Chicago, IL","(GMT-06:00) Central Time (US & Canada)","United States","Central Standard Time"
"Chichen Itza","(GMT-06:00) Guadalajara, Mexico City, Monterrey","Mexico","Mexico Standard Time"
"Chihuahua","(GMT-07:00) Chihuahua, La Paz, Mazatlan","Mexico","Mexico Standard Time 2"
"Chimoio","(GMT+02:00) Harare, Pretoria","Mozambique","South Africa Standard Time"
"Chinandega","(GMT-06:00) Central America","Nicaragua","Central America Standard Time"
"Chirala","(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi","India","India Standard Time"
"Chisinau","(GMT+02:00) Helsinki, Riga, Sofia, Tallinn, Vilnius","Moldova","FLE Standard Time"
"Chita","(GMT+10:00) Yakutsk","Russia","Yakutsk Standard Time"
"Chittagong","(GMT+06:00) Bangladesh","Bangladesh","Bangladesh Standard Time"
"Chongqing","(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi","China","China Standard Time"
"Christchurch","(GMT+12:00) Auckland, Wellington","New Zealand","New Zealand Standard Time"
"Cienfuegos","(GMT-05:00) Cuba Standard Time","Cuba","Cuba Standard Time"
"Cincinnati, OH","(GMT-05:00) Eastern Time (US & Canada)","United States","Eastern Standard Time"
"Ciudad Acuna","(GMT-06:00) Central Time (US & Canada)","Mexico","Central Standard Time"
"Ciudad Juarez","(GMT-07:00) Mountain Time (US & Canada)","Mexico","Mountain Standard Time"
"Cleveland, OH","(GMT-05:00) Eastern Time (US & Canada)","United States","Eastern Standard Time"
"Cluj","(GMT+02:00) Helsinki, Riga, Sofia, Tallinn, Vilnius","Romania","FLE Standard Time"
"Cockburn Town","(GMT-05:00) Eastern Time (US & Canada)","Turks and Caicos Islands","Eastern Standard Time"
"Coimbatore","(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi","India","India Standard Time"
"Collioure","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris","France","Romance Standard Time"
"Cologne","(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Germany","W. Europe Standard Time"
"Colombo","(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi","Sri Lanka","India Standard Time"
"Colorado Springs, CO","(GMT-07:00) Mountain Time (US & Canada)","United States","Mountain Standard Time"
"Columbia, SC","(GMT-05:00) Eastern Time (US & Canada)","United States","Eastern Standard Time"
"Columbus, GA","(GMT-05:00) Eastern Time (US & Canada)","United States","Eastern Standard Time"
"Columbus, OH","(GMT-05:00) Eastern Time (US & Canada)","United States","Eastern Standard Time"
"Conakry","(GMT) Greenwich Mean Time","Guinea","Greenwich Standard Time"
"Constanta","(GMT+02:00) Helsinki, Riga, Sofia, Tallinn, Vilnius","Romania","FLE Standard Time"
"Coos Bay, OR","(GMT-08:00) Pacific Time (US & Canada); Tijuana","United States","Pacific Standard Time"
"Copenhagen","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris","Denmark","Romance Standard Time"
"Coquille, OR","(GMT-08:00) Pacific Time (US & Canada); Tijuana","United States","Pacific Standard Time"
"Cordoba","(GMT-03:00) Argentina","Argentina","Argentina Standard Time"
"Corfu","(GMT+02:00) Helsinki, Riga, Sofia, Tallinn, Vilnius","Greece","FLE Standard Time"
"Cork","(GMT) Dublin, Edinburgh, Lisbon, London","Ireland","GMT Standard Time"
"Corrientes","(GMT-03:00) Argentina","Argentina","Argentina Standard Time"
"Cotonou","(GMT+01:00) West Central Africa","Benin","W. Central Africa Standard Time"
"Cox's Bazar","(GMT+06:00) Bangladesh","Bangladesh","Bangladesh Standard Time"
"Craiova","(GMT+02:00) Helsinki, Riga, Sofia, Tallinn, Vilnius","Romania","FLE Standard Time"
"Cranbrook, BC","(GMT-07:00) Mountain Time (US & Canada)","Canada","Mountain Standard Time"
"Cuenca","(GMT-05:00) Bogota, Lima, Quito","Ecuador","SA Pacific Standard Time"
"Cuiaba","(GMT-04:00) Cuiaba, Brazil","Brazil","Cuiaba Standard Time"
"Culiacan","(GMT-07:00) Chihuahua, La Paz, Mazatlan","Mexico","Mexico Standard Time 2"
"Cupertino, CA","(GMT-08:00) Pacific Time (US & Canada); Tijuana","United States","Pacific Standard Time"
"Curitiba","(GMT-03:00) Brasilia","Brazil","E. South America Standard Time"
"Da Nang","(GMT+07:00) Bangkok, Hanoi, Jakarta","Vietnam","SE Asia Standard Time"
"Daegu","(GMT+09:00) Seoul","Korea, South","Korea Standard Time"
"Dakar","(GMT) Greenwich Mean Time","Senegal","Greenwich Standard Time"
"Dakhla","(GMT) Morocco","Morocco","Morocco Standard Time"
"Dalian","(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi","China","China Standard Time"
"Dallas, TX","(GMT-06:00) Central Time (US & Canada)","United States","Central Standard Time"
"Damascus","(GMT+02:00) Syria","Syria","Syria Standard Time"
"Damauli","(GMT+05:45) Kathmandu","Nepal","Nepal Standard Time"
"Dambulla","(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi","Sri Lanka","India Standard Time"
"Dampier","(GMT+08:00) Perth","Australia","W. Australia Standard Time"
"Dandong","(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi","China","China Standard Time"
"Dar es Salaam","(GMT+03:00) Nairobi","Tanzania","E. Africa Standard Time"
"Darasuram","(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi","India","India Standard Time"
"Darwin","(GMT+09:30) Darwin","Australia","AUS Central Standard Time"
"Dausa","(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi","India","India Standard Time"
"Davao","(GMT+08:00) Kuala Lumpur, Singapore","Philippines","Singapore Standard Time"
"Dayton, OH","(GMT-05:00) Eastern Time (US & Canada)","United States","Eastern Standard Time"
"Del Rio, TX","(GMT-06:00) Central Time (US & Canada)","United States","Central Standard Time"
"Delhi","(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi","India","India Standard Time"
"Denpasar","(GMT+08:00) Kuala Lumpur, Singapore","Indonesia","Singapore Standard Time"
"Denver, CO","(GMT-07:00) Mountain Time (US & Canada)","United States","Mountain Standard Time"
"Des Moines, IA","(GMT-06:00) Central Time (US & Canada)","United States","Central Standard Time"
"Detroit, MI","(GMT-05:00) Eastern Time (US & Canada)","United States","Eastern Standard Time"
"Dhahran","(GMT+03:00) Kuwait, Riyadh","Saudi Arabia","Arab Standard Time"
"Dhaka","(GMT+06:00) Bangladesh","Bangladesh","Bangladesh Standard Time"
"Dhamar","(GMT+03:00) Kuwait, Riyadh","Yemen","Arab Standard Time"
"Dharan","(GMT+05:45) Kathmandu","Nepal","Nepal Standard Time"
"Dieppe","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris","France","Romance Standard Time"
"Diffa","(GMT+01:00) West Central Africa","Niger","W. Central Africa Standard Time"
"Dili","(GMT+09:00) Seoul","East Timor","Korea Standard Time"
"Djember","(GMT+07:00) Bangkok, Hanoi, Jakarta","Indonesia","SE Asia Standard Time"
"Djibouti","(GMT+03:00) Kuwait, Riyadh","Djibouti","Arab Standard Time"
